fix_day,hr,count,mean,std,min,25%,50%,75%,max
1.0,0,,,,,,,,
1.0,1,,,,,,,,
1.0,2,,,,,,,,
1.0,3,,,,,,,,
1.0,4,,,,,,,,
1.0,5,,,,,,,,
1.0,6,2.0,1.227737736,0.132469383,1.134067737,1.180902737,1.227737736,1.2745727359999999,1.321407735
1.0,7,4.0,2.7556370230000002,1.3464505530000002,1.150895141,2.096441581,2.745545775,3.4047412169999998,4.3805614010000005
1.0,8,4.0,3.231778663,1.065959839,2.481207135,2.6692170180000003,2.818300972,3.380862617,4.809305574
1.0,9,4.0,2.748486784,0.568412252,2.092423681,2.374137705,2.790326055,3.164675134,3.320871345
1.0,10,4.0,1.621514458,0.524726465,1.071551286,1.225574023,1.648658115,2.04459855,2.117190318
1.0,11,2.0,1.978130072,0.15333524099999998,1.869705683,1.9239178769999998,1.978130072,2.032342266,2.08655446
1.0,12,3.0,1.88150169,1.05866477,1.05890139,1.284294577,1.5096877640000002,2.29280184,3.075915915
1.0,13,2.0,1.8506309490000001,0.697616881,1.357341322,1.6039861359999998,1.8506309490000001,2.0972757630000003,2.343920576
1.0,14,4.0,1.813162516,0.6333609929999999,1.358370144,1.428095666,1.5784670980000002,1.963533947,2.7373457219999997
1.0,15,4.0,1.469101587,0.5044655060000001,1.033793924,1.075834117,1.3722239809999999,1.765491451,2.0981644619999997
1.0,16,4.0,1.4988459509999998,0.369085709,1.147680535,1.1970618020000001,1.5021401859999999,1.803924335,1.8434228990000001
1.0,17,4.0,1.76283057,0.390267398,1.3461015680000001,1.505851407,1.737600367,1.99457953,2.230019978
1.0,18,4.0,2.6252465369999998,1.103931997,1.20014771,2.321755771,2.7027832480000002,3.0062740139999997,3.895271943
1.0,19,3.0,2.446951889,0.58755312,1.8249040580000002,2.1741677680000002,2.523431478,2.757975804,2.99252013
1.0,20,2.0,1.691135935,0.913234874,1.045381363,1.3682586490000002,1.691135935,2.014013221,2.3368905069999997
1.0,21,1.0,1.19047619,,1.19047619,1.19047619,1.19047619,1.19047619,1.19047619
1.0,22,1.0,1.0092653870000001,,1.0092653870000001,1.0092653870000001,1.0092653870000001,1.0092653870000001,1.0092653870000001
1.0,23,,,,,,,,
2.0,0,,,,,,,,
2.0,1,,,,,,,,
2.0,2,,,,,,,,
2.0,3,,,,,,,,
2.0,4,,,,,,,,
2.0,5,,,,,,,,
2.0,6,3.0,1.146746279,0.198418215,1.0217935009999999,1.03235177,1.0429100390000001,1.209222668,1.375535296
2.0,7,4.0,2.5854515240000002,0.7239634340000001,2.061933797,2.097159135,2.330002002,2.81829439,3.6198682939999998
2.0,8,4.0,2.497976951,0.136510764,2.377161435,2.399506623,2.469047755,2.567518083,2.676650858
2.0,9,4.0,4.6300795610000005,2.795585475,2.250441108,2.415621776,4.091549701,6.306007485,8.086777733
2.0,10,4.0,1.802607436,0.312945117,1.404871884,1.648085146,1.8346800369999998,1.9892023269999999,2.136197784
2.0,11,4.0,2.078508599,1.586841486,1.039002558,1.044877755,1.441680384,2.4753112280000003,4.391671069
2.0,12,2.0,1.9007366980000002,0.970619149,1.214405316,1.557571007,1.9007366980000002,2.243902389,2.58706808
2.0,13,2.0,2.047589494,0.296490877,1.837938784,1.9427641390000001,2.047589494,2.152414849,2.257240204
2.0,14,3.0,1.3141382240000001,0.220150658,1.060662122,1.242421875,1.4241816280000001,1.440876276,1.457570923
2.0,15,4.0,1.324511089,0.084069749,1.2395399870000001,1.288798315,1.308963143,1.3446759169999998,1.4405780830000001
2.0,16,3.0,1.37290802,0.364719591,1.120797528,1.1638062679999999,1.206815007,1.4989632659999998,1.791111525
2.0,17,4.0,2.267733505,0.723031282,1.5457602209999999,1.700611074,2.275114532,2.842236963,2.9749447360000003
2.0,18,4.0,3.2255214339999996,0.986009802,2.015943477,2.656059703,3.326471438,3.8959331689999996,4.233199382
2.0,19,3.0,2.9629591580000003,1.5198154119999998,1.599147122,2.143766817,2.688386511,3.644865176,4.60134384
2.0,20,3.0,1.4903611630000002,0.37135907799999995,1.070946685,1.3468546430000001,1.622762601,1.7000684019999999,1.7773742019999998
2.0,21,,,,,,,,
2.0,22,1.0,1.26027887,,1.26027887,1.26027887,1.26027887,1.26027887,1.26027887
2.0,23,,,,,,,,
3.0,0,,,,,,,,
3.0,1,,,,,,,,
3.0,2,,,,,,,,
3.0,3,,,,,,,,
3.0,4,,,,,,,,
3.0,5,,,,,,,,
3.0,6,2.0,1.09290419,0.06021148900000001,1.050328237,1.071616213,1.09290419,1.114192166,1.135480142
3.0,7,4.0,2.1904516640000002,0.317307016,1.813967429,2.004347145,2.203038758,2.389143277,2.54176171
3.0,8,4.0,3.355498134,1.2384011659999998,2.2792319,2.636826628,3.016555608,3.7352271139999997,5.109649421
3.0,9,4.0,2.3124112230000002,0.645540509,1.5693170269999999,1.882596897,2.365269055,2.7950833810000004,2.9497897539999998
3.0,10,4.0,1.562325374,0.24232110399999998,1.331882301,1.400148512,1.518732913,1.680909775,1.879953371
3.0,11,4.0,1.305187138,0.108602664,1.144431781,1.286787516,1.350890961,1.3692905830000002,1.3745348480000001
3.0,12,4.0,1.323379093,0.126683123,1.16491725,1.24971278,1.346715214,1.420381527,1.435168695
3.0,13,4.0,1.461761241,0.43950772299999996,1.064476886,1.111223065,1.4054209430000002,1.7559591190000001,1.97172619
3.0,14,3.0,1.487610048,0.277981651,1.208342201,1.349271374,1.4902005459999998,1.6272439719999998,1.764287397
3.0,15,4.0,1.547554594,0.389673384,1.151896563,1.27715225,1.508816432,1.779218776,2.02068895
3.0,16,4.0,1.760613309,0.374770441,1.26191711,1.61657407,1.8132242619999999,1.957263502,2.1540876019999997
3.0,17,4.0,2.464226428,0.641842178,1.74370896,2.0444350019999997,2.468449342,2.888240768,3.176298066
3.0,18,3.0,4.734830539,3.041081363,2.237318389,3.0415745089999997,3.845830629,5.983586614,8.121342599
3.0,19,4.0,3.637194591,1.5351526030000002,1.915663123,2.897206855,3.5090872610000003,4.249074997,5.614940719
3.0,20,4.0,1.7321410119999998,0.20796519800000002,1.461439107,1.63395895,1.761503732,1.859685794,1.944117475
3.0,21,1.0,1.716446858,,1.716446858,1.716446858,1.716446858,1.716446858,1.716446858
3.0,22,1.0,3.241571913,,3.241571913,3.241571913,3.241571913,3.241571913,3.241571913
3.0,23,,,,,,,,
4.0,0,,,,,,,,
4.0,1,,,,,,,,
4.0,2,,,,,,,,
4.0,3,,,,,,,,
4.0,4,,,,,,,,
4.0,5,,,,,,,,
4.0,6,2.0,1.25821732,0.10311735,1.185302342,1.221759831,1.25821732,1.294674808,1.3311322970000001
4.0,7,4.0,2.098911686,0.653715181,1.254395766,1.8170791380000002,2.164368583,2.44620113,2.812513811
4.0,8,4.0,2.471325537,0.298535856,2.076190315,2.385875841,2.504087641,2.589537336,2.8009365489999998
4.0,9,4.0,1.985594996,0.518009271,1.487635399,1.76914196,1.870431706,2.086884742,2.713881174
4.0,10,4.0,2.337502553,0.341230291,1.881337326,2.1762186530000003,2.4181231619999997,2.579407061,2.63242656
4.0,11,3.0,1.48465383,0.46493202100000003,1.088950805,1.228624509,1.3682982119999998,1.682505343,1.996712473
4.0,12,4.0,1.5889893019999999,0.42554318700000004,1.162990907,1.275382242,1.556605211,1.870212271,2.079755881
4.0,13,3.0,3.059851733,2.546298914,1.339449706,1.597302583,1.8551554590000001,3.9200527469999997,5.984950034
4.0,14,2.0,2.091266398,0.41789537,1.795769748,1.9435180730000001,2.091266398,2.239014723,2.386763048
4.0,15,4.0,2.03090623,0.798455747,1.5096292740000001,1.5739123030000002,1.699954024,2.156947952,3.214087599
4.0,16,4.0,1.8472121869999998,0.165252594,1.667398851,1.737757309,1.8413666309999999,1.9508215080000002,2.038716634
4.0,17,4.0,1.9637398019999999,0.6761519290000001,1.291657617,1.558675805,1.849108084,2.254172081,2.865085422
4.0,18,4.0,2.920257327,0.9983095940000001,1.6552634990000001,2.517000859,2.9776630739999996,3.380919542,4.07043966
4.0,19,4.0,3.568043458,1.997211531,2.233506522,2.521498803,2.750857716,3.7974023710000004,6.536951879
