DAY,HR,count,mean,std,min,25%,50%,75%,max
1,6,2,1.227737736,0.132469383,1.134067737,1.180902737,1.227737736,1.274572736,1.321407735
,7,4,2.755637023,1.346450553,1.150895141,2.096441581,2.745545775,3.404741217,4.380561401
,8,4,3.231778663,1.065959839,2.481207135,2.669217018,2.818300972,3.380862617,4.809305574
,9,4,2.748486784,0.568412252,2.092423681,2.374137705,2.790326055,3.164675134,3.320871345
,10,4,1.621514458,0.524726465,1.071551286,1.225574023,1.648658115,2.04459855,2.117190318
,11,2,1.978130072,0.153335241,1.869705683,1.923917877,1.978130072,2.032342266,2.08655446
,12,3,1.88150169,1.05866477,1.05890139,1.284294577,1.509687764,2.29280184,3.075915915
,13,2,1.850630949,0.697616881,1.357341322,1.603986136,1.850630949,2.097275763,2.343920576
,14,4,1.813162516,0.633360993,1.358370144,1.428095666,1.578467098,1.963533947,2.737345722
,15,4,1.469101587,0.504465506,1.033793924,1.075834117,1.372223981,1.765491451,2.098164462
,16,4,1.498845951,0.369085709,1.147680535,1.197061802,1.502140186,1.803924335,1.843422899
,17,4,1.76283057,0.390267398,1.346101568,1.505851407,1.737600367,1.99457953,2.230019978
,18,4,2.625246537,1.103931997,1.20014771,2.321755771,2.702783248,3.006274014,3.895271943
,19,3,2.446951889,0.58755312,1.824904058,2.174167768,2.523431478,2.757975804,2.99252013
,20,2,1.691135935,0.913234874,1.045381363,1.368258649,1.691135935,2.014013221,2.336890507
,21,1,1.19047619,,1.19047619,1.19047619,1.19047619,1.19047619,1.19047619
,22,1,1.009265387,,1.009265387,1.009265387,1.009265387,1.009265387,1.009265387
2,6,3,1.146746279,0.198418215,1.021793501,1.03235177,1.042910039,1.209222668,1.375535296
,7,4,2.585451524,0.723963434,2.061933797,2.097159135,2.330002002,2.81829439,3.619868294
,8,4,2.497976951,0.136510764,2.377161435,2.399506623,2.469047755,2.567518083,2.676650858
,9,4,4.630079561,2.795585475,2.250441108,2.415621776,4.091549701,6.306007485,8.086777733
,10,4,1.802607436,0.312945117,1.404871884,1.648085146,1.834680037,1.989202327,2.136197784
,11,4,2.078508599,1.586841486,1.039002558,1.044877755,1.441680384,2.475311228,4.391671069
,12,2,1.900736698,0.970619149,1.214405316,1.557571007,1.900736698,2.243902389,2.58706808
,13,2,2.047589494,0.296490877,1.837938784,1.942764139,2.047589494,2.152414849,2.257240204
,14,3,1.314138224,0.220150658,1.060662122,1.242421875,1.424181628,1.440876276,1.457570923
,15,4,1.324511089,0.084069749,1.239539987,1.288798315,1.308963143,1.344675917,1.440578083
,16,3,1.37290802,0.364719591,1.120797528,1.163806268,1.206815007,1.498963266,1.791111525
,17,4,2.267733505,0.723031282,1.545760221,1.700611074,2.275114532,2.842236963,2.974944736
,18,4,3.225521434,0.986009802,2.015943477,2.656059703,3.326471438,3.895933169,4.233199382
,19,3,2.962959158,1.519815412,1.599147122,2.143766817,2.688386511,3.644865176,4.60134384
,20,3,1.490361163,0.371359078,1.070946685,1.346854643,1.622762601,1.700068402,1.777374202
,22,1,1.26027887,,1.26027887,1.26027887,1.26027887,1.26027887,1.26027887
3,6,2,1.09290419,0.060211489,1.050328237,1.071616213,1.09290419,1.114192166,1.135480142
,7,4,2.190451664,0.317307016,1.813967429,2.004347145,2.203038758,2.389143277,2.54176171
,8,4,3.355498134,1.238401166,2.2792319,2.636826628,3.016555608,3.735227114,5.109649421
,9,4,2.312411223,0.645540509,1.569317027,1.882596897,2.365269055,2.795083381,2.949789754
,10,4,1.562325374,0.242321104,1.331882301,1.400148512,1.518732913,1.680909775,1.879953371
,11,4,1.305187138,0.108602664,1.144431781,1.286787516,1.350890961,1.369290583,1.374534848
,12,4,1.323379093,0.126683123,1.16491725,1.24971278,1.346715214,1.420381527,1.435168695
,13,4,1.461761241,0.439507723,1.064476886,1.111223065,1.405420943,1.755959119,1.97172619
,14,3,1.487610048,0.277981651,1.208342201,1.349271374,1.490200546,1.627243972,1.764287397
,15,4,1.547554594,0.389673384,1.151896563,1.27715225,1.508816432,1.779218776,2.02068895
,16,4,1.760613309,0.374770441,1.26191711,1.61657407,1.813224262,1.957263502,2.154087602
,17,4,2.464226428,0.641842178,1.74370896,2.044435002,2.468449342,2.888240768,3.176298066
,18,3,4.734830539,3.041081363,2.237318389,3.041574509,3.845830629,5.983586614,8.121342599
,19,4,3.637194591,1.535152603,1.915663123,2.897206855,3.509087261,4.249074997,5.614940719
,20,4,1.732141012,0.207965198,1.461439107,1.63395895,1.761503732,1.859685794,1.944117475
,21,1,1.716446858,,1.716446858,1.716446858,1.716446858,1.716446858,1.716446858
,22,1,3.241571913,,3.241571913,3.241571913,3.241571913,3.241571913,3.241571913
4,6,2,1.25821732,0.10311735,1.185302342,1.221759831,1.25821732,1.294674808,1.331132297
,7,4,2.098911686,0.653715181,1.254395766,1.817079138,2.164368583,2.44620113,2.812513811
,8,4,2.471325537,0.298535856,2.076190315,2.385875841,2.504087641,2.589537336,2.800936549
,9,4,1.985594996,0.518009271,1.487635399,1.76914196,1.870431706,2.086884742,2.713881174
